2019 Federal Election House of Representatives Candidates [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-07-01T15:26:27 Cycle:137da0a3-a392-4005-ac62-0e82b00a6d5e Created:2019-07-01T15:24:49 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,PartyAb,PartyNm,CandidateID,Surname,GivenNm,Elected,HistoricElected
WA,243,O'Connor,AUC,Australian Christians,33328,'t HART,Ian,N,N
QLD,175,Petrie,ON,Pauline Hanson's One Nation,32556,AAI REDDY,Nikhil,N,N
NSW,151,Warringah,LP,Liberal,33138,ABBOTT,Tony,N,Y
NSW,125,Hume,UAPP,United Australia Party,32774,ABDO,Lynda,N,N
NSW,146,Robertson,IND,Independent,33573,ABRAHAMS,David Fraser,N,N
VIC,207,Corangamite,AJP,Animal Justice Party,32718,ADAMS,Naomi,N,N
NSW,108,Bradfield,GRN,The Greens,32639,ADAMS,Tony,N,N
WA,247,Swan,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,32699,ADDINK,Carmel,N,N
QLD,164,Groom,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,33313,ADRELIUS,Perry,N,N
VIC,201,Bruce,UAPP,United Australia Party,32368,AHMED,Mubahil,N,N
NSW,121,Grayndler,ALP,Labor,32691,ALBANESE,Anthony,Y,Y
VIC,232,Scullin,IND,Independent,33616,ALBARRI,Yassin Akram,N,N
NSW,105,Bennelong,LP,Liberal,33140,ALEXANDER,John,Y,Y
TAS,193,Braddon,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,33556,ALLAN,Shane,N,N
VIC,215,Higgins,LP,Liberal,33232,ALLEN,Katie,Y,N
WA,237,Cowan,ALP,Australian Labor Party,33348,ALY,Anne,Y,Y
QLD,168,Leichhardt,IND,Independent,32496,ANDERSON,Chad,N,N
QLD,155,Bowman,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,33137,ANDERSON,David,N,N
QLD,171,McPherson,LNP,Liberal National Party of Queensland,33194,ANDREWS,Karen,Y,Y
VIC,229,Menzies,LP,Liberal,33179,ANDREWS,Kevin,Y,Y
QLD,176,Rankin,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,33153,ANDREWS,Peter James,N,N
NSW,126,Hunter,NP,The Nationals,32439,ANGUS,Josh,N,N
TAS,192,Bass,LP,Liberal,32124,ARCHER,Bridget,Y,N
VIC,322,Macnamara,SPP,Sustainable Australia,32991,ARMSTRONG,Steven,N,N
VIC,205,Chisholm,GVIC,The Greens (VIC),32403,ARTHUR,Luke,N,N
QLD,168,Leichhardt,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,33212,ASHBY,Jo,N,N
VIC,322,Macnamara,LP,Liberal,33295,ASHMOR,Kate,N,N
NSW,107,Blaxland,UAPP,United Australia Party,32806,ASHRAF,Nadeem,N,N
NSW,122,Greenway,GRN,The Greens,32747,ATKINS,Damien,N,N
NSW,114,Cunningham,LP,Liberal,33210,ATLEE,Chris,N,N
QLD,252,Dickson,UAPP,United Australia Party,32879,AUSTIN,Steve,N,N
QLD,160,Fairfax,IND,Independent,32079,AUSTRALIE,Sinim,N,N
NSW,139,Parkes,ALP,Labor,32602,AYOUB,Jack,N,N
SA,180,Barker,UAPP,United Australia Party,33050,BACHER,Bert,N,N
VIC,321,Fraser,LP,Liberal,33274,BAIN,Peter,N,N
VIC,223,La Trobe,ON,Pauline Hanson's One Nation,32811,BAKER,Esther,N,N
QLD,311,Flynn,GRN,The Greens,33192,BAKER,Jaiben,N,N
VIC,223,La Trobe,RUA,Rise Up Australia Party,33261,BAKER,Norman,N,N
VIC,215,Higgins,GVIC,The Greens (VIC),32579,BALL,Jason,N,N
QLD,157,Capricornia,GRN,The Greens,33146,BAMBRICK,Paul,N,N
VIC,228,Melbourne,GVIC,The Greens (VIC),32423,BANDT,Adam,Y,Y
QLD,177,Ryan,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,33327,BANKS,Andrew,N,N
VIC,211,Flinders,IND,Independent,32272,BANKS,Julia,N,Y
QLD,159,Fadden,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,33236,BARBER,Allan,N,N
VIC,226,McEwen,GVIC,The Greens (VIC),32426,BARKER,Neil,N,N
VIC,204,Casey,AJP,Animal Justice Party,32674,BARKER,Travis,N,N
NSW,151,Warringah,AJP,Animal Justice Party,33214,BARNES,Heather,N,N
NSW,145,Richmond,IMO,Involuntary Medication Objectors (Vaccination/Fluoride) Party,33639,BARNETT,Tom,N,N
QLD,156,Brisbane,GRN,The Greens,33144,BARTLETT,Andrew,N,N
QLD,155,Bowman,ALP,Australian Labor Party,32752,BASTER,Tom,N,N
QLD,174,Oxley,LNP,Liberal National Party of Queensland,33460,BAUER,Russell,N,N
NSW,250,Riverina,GRN,The Greens,32633,BAYLES,Michael,N,N
NSW,128,Lindsay,ALP,Labor,32732,BEAMER,Diane,N,N
WA,247,Swan,ALP,Australian Labor Party,33388,BEAZLEY,Hannah,N,N
WA,237,Cowan,ASP,"Shooters, Fishers and Farmers",32875,BEDFORD,Paul James,N,N
QLD,311,Flynn,ALP,Australian Labor Party,32942,BEERS,Zac,N,N
QLD,160,Fairfax,SPP,Sustainable Australia,32614,BELCHER,Richard,N,N
VIC,320,Cooper,LP,Liberal,33349,BELL,Andrew,N,N
QLD,172,Moncrieff,LNP,Liberal National Party of Queensland,33208,BELL,Angie,Y,N
QLD,310,Bonner,GRN,The Greens,33117,BELL,Barbara,N,N
QLD,304,Blair,ON,Pauline Hanson's One Nation,32501,BELL,Sharon,N,N
QLD,172,Moncrieff,ALP,Australian Labor Party,32894,BELL,Tracey,N,N
QLD,169,Lilley,ON,Pauline Hanson's One Nation,32726,BELL-HENSELIN,Tracey,N,N
VIC,212,Gellibrand,UAPP,United Australia Party,32274,BENTLEY,Lisa Maree,N,N
QLD,167,Kennedy,UAPP,United Australia Party,32892,BERTUCH,Sue,N,N
NSW,128,Lindsay,GRN,The Greens,32675,BEST,Nick,N,N
