2019 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NT [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-07-01T15:26:29 Cycle:137da0a3-a392-4005-ac62-0e82b00a6d5e Created:2019-07-01T15:24:49 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NT,306,Lingiari,8701,Alice Springs,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,487,-0.94
NT,306,Lingiari,8701,Alice Springs,33034,HANNA,George,2,N,N,GRN,The Greens,262,1.19
NT,306,Lingiari,8701,Alice Springs,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,22,1.61
NT,306,Lingiari,8701,Alice Springs,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,16,-2.92
NT,306,Lingiari,8701,Alice Springs,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,29,2.12
NT,306,Lingiari,8701,Alice Springs,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),554,6.07
NT,306,Lingiari,8701,Alice Springs,999,Informal,Informal,999,N,N,,Informal,44,-2
NT,306,Lingiari,65681,Alice Springs PPVC,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,2347,2.48
NT,306,Lingiari,65681,Alice Springs PPVC,33034,HANNA,George,2,N,N,GRN,The Greens,689,-2.53
NT,306,Lingiari,65681,Alice Springs PPVC,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,122,1.98
NT,306,Lingiari,65681,Alice Springs PPVC,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,64,-2.26
NT,306,Lingiari,65681,Alice Springs PPVC,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,159,2.58
NT,306,Lingiari,65681,Alice Springs PPVC,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),2778,4.65
NT,306,Lingiari,65681,Alice Springs PPVC,999,Informal,Informal,999,N,N,,Informal,213,-2.66
NT,306,Lingiari,8710,Arumbera,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,80,3.04
NT,306,Lingiari,8710,Arumbera,33034,HANNA,George,2,N,N,GRN,The Greens,19,-4.49
NT,306,Lingiari,8710,Arumbera,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,4,1.46
NT,306,Lingiari,8710,Arumbera,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,5,-1.86
NT,306,Lingiari,8710,Arumbera,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,5,1.82
NT,306,Lingiari,8710,Arumbera,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),161,8.6
NT,306,Lingiari,8710,Arumbera,999,Informal,Informal,999,N,N,,Informal,6,-2.9
NT,306,Lingiari,34264,Bees Creek,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,173,-6.46
NT,306,Lingiari,34264,Bees Creek,33034,HANNA,George,2,N,N,GRN,The Greens,63,2.7
NT,306,Lingiari,34264,Bees Creek,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,22,2.99
NT,306,Lingiari,34264,Bees Creek,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,14,-0.59
NT,306,Lingiari,34264,Bees Creek,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,50,6.78
NT,306,Lingiari,34264,Bees Creek,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),415,11.93
NT,306,Lingiari,34264,Bees Creek,999,Informal,Informal,999,N,N,,Informal,36,-1.09
NT,306,Lingiari,8706,Berry Springs,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,173,1.36
NT,306,Lingiari,8706,Berry Springs,33034,HANNA,George,2,N,N,GRN,The Greens,57,3.1
NT,306,Lingiari,8706,Berry Springs,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,40,6.39
NT,306,Lingiari,8706,Berry Springs,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,27,0.49
NT,306,Lingiari,8706,Berry Springs,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,46,7.35
NT,306,Lingiari,8706,Berry Springs,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),283,8.48
NT,306,Lingiari,8706,Berry Springs,999,Informal,Informal,999,N,N,,Informal,39,-0.6
NT,306,Lingiari,65576,BLV Lingiari PPVC,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,0,0
NT,306,Lingiari,65576,BLV Lingiari PPVC,33034,HANNA,George,2,N,N,GRN,The Greens,0,0
NT,306,Lingiari,65576,BLV Lingiari PPVC,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,0,0
