2019 Federal Election Senate First Preferences By State By Vote Type  [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-07-01T15:26:18 Cycle:137da0a3-a392-4005-ac62-0e82b00a6d5e Created:2019-07-01T15:24:49 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyName,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,A,33704,0,A Ticket Votes,Liberal,67488,1531,428,3078,4302,76827
ACT,A,32766,1,"SESELJA, Zed",Liberal,6828,166,43,295,444,7776
ACT,A,32779,2,"GUNNING, Robert",Liberal,2519,46,18,105,201,2889
ACT,A,0,9998,Unapportioned,Liberal,0,0,0,0,0,0
ACT,B,33700,0,B Ticket Votes,The Greens,29985,888,256,1797,1463,34389
ACT,B,32210,1,"KYBURZ, Penny",The Greens,10154,210,74,500,453,11391
ACT,B,32212,2,"DAVIDSON, Emma",The Greens,1742,50,16,126,141,2075
ACT,B,0,9998,Unapportioned,The Greens,0,0,0,0,0,0
ACT,C,33706,0,C Ticket Votes,,3823,70,20,102,209,4224
ACT,C,33572,1,"PESEC, Anthony",,7535,94,36,155,343,8163
ACT,C,33576,2,"KENT, Gary",,179,1,0,14,23,217
ACT,C,0,9998,Unapportioned,,0,0,0,0,0,0
ACT,D,33705,0,D Ticket Votes,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,1538,55,14,101,110,1818
ACT,D,33574,1,"VAN DUREN, Shane",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,479,9,5,32,38,563
ACT,D,33584,2,"BIRKETT, Scott",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,72,2,1,2,3,80
ACT,D,0,9998,Unapportioned,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,0,0,0,0,0,0
ACT,E,33702,0,E Ticket Votes,United Australia Party,4636,177,40,282,268,5403
ACT,E,32246,1,"WALTER, Peter",United Australia Party,480,10,7,17,34,548
ACT,E,32248,2,"HODGSON, Rebecah Elen",United Australia Party,146,4,1,11,17,179
ACT,E,0,9998,Unapportioned,United Australia Party,0,0,0,0,0,0
ACT,F,33703,0,F Ticket Votes,Sustainable Australia,2726,88,27,204,224,3269
ACT,F,32254,1,"HAYDON, John",Sustainable Australia,796,10,5,33,48,892
ACT,F,32256,2,"ANGEL, Joy",Sustainable Australia,254,7,1,18,22,302
ACT,F,0,9998,Unapportioned,Sustainable Australia,0,0,0,0,0,0
ACT,G,33701,0,G Ticket Votes,Australian Labor Party,74737,1715,535,3526,3761,84274
ACT,G,32588,1,"GALLAGHER, Katy",Australian Labor Party,18348,269,101,883,1059,20660
ACT,G,32593,2,"WAITES, Nancy",Australian Labor Party,1227,24,9,48,88,1396
ACT,G,0,9998,Unapportioned,Australian Labor Party,0,0,0,0,0,0
ACT,UG,33618,1,"HOUSTON, Nick",Independent,1155,27,6,55,106,1349
ACT,UG,32090,2,"COWTON, Gary",Independent,267,7,0,14,15,303
ACT,UG,33651,3,"KIM, David",Christian Democratic Party (Fred Nile Group),1104,25,8,35,72,1244
NSW,A,33821,0,A Ticket Votes,Rise Up Australia Party,25980,1570,394,1212,773,29929
NSW,A,33408,1,"NICHOLS, Maree",Rise Up Australia Party,2389,222,54,120,64,2849
NSW,A,33412,2,"SHIGROV, Vladimir",Rise Up Australia Party,300,26,10,20,10,366
