2013 Federal Election House of Representatives Candidates [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:34 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PartyAb,PartyNm,CandidateID,Surname,GivenNm,Elected,HistoricElected
NSW,136,Newcastle,LP,Liberal,23242,ABBOTT,Jaimie,N,N
NSW,151,Warringah,LP,Liberal,23210,ABBOTT,Tony,Y,Y
VIC,200,Bendigo,IND,Independent,24681,ABIKHAIR,Daniel Edward,N,N
TAS,196,Lyons,ALP,Australian Labor Party,23460,ADAMS,Dick,N,Y
NSW,121,Grayndler,ALP,Labor,24610,ALBANESE,Anthony,Y,Y
ACT,102,Fraser,PUP,Palmer United Party,24246,ALCAZAR,Freddy Alejandro,N,N
NSW,136,Newcastle,SAL,Socialist Alliance,24629,ALCORN,Zane,N,N
SA,191,Wakefield,IND,Independent,23742,ALDRIDGE,Mark,N,N
NSW,105,Bennelong,LP,Liberal,23197,ALEXANDER,John,Y,Y
NSW,145,Richmond,PUP,Palmer United Party,24359,ALLEN,Charles Philip Fitzsimonds,N,N
NSW,134,Mitchell,CDP,Christian Democratic Party (Fred Nile Group),24572,ALLEN,Darryl,N,N
QLD,157,Capricornia,FFP,Family First,24835,ALLEY,Hazel,N,N
NSW,130,Lyne,ALP,Labor,24595,ALLEY,Peter,N,N
QLD,155,Bowman,GRN,The Greens,23928,ALLMAN-PAYNE,Penny,N,N
VIC,309,Gorton,FFP,Family First Party,24986,AMBERLEY,Scott,N,N
VIC,227,McMillan,KAP,Katter's Australian Party,24235,AMOR,David John,N,N
NSW,150,Throsby,NP,The Nationals,23250,ANDERSON,Gary,N,N
QLD,178,Wide Bay,PUP,Palmer United Party,23414,ANDERSON,Stephen Alfred,N,N
QLD,171,McPherson,LNP,Liberal National Party of Queensland,23826,ANDREWS,Karen,Y,Y
VIC,229,Menzies,LP,Liberal,23483,ANDREWS,Kevin,Y,Y
NSW,110,Charlton,BTA,Bullet Train For Australia,24691,ANTHONEY,Trevor,N,N
VIC,212,Gellibrand,FFP,Family First Party,24976,ARCH,Kerry,N,N
NSW,108,Bradfield,CDP,Christian Democratic Party (Fred Nile Group),24569,ARCHER,John,N,N
VIC,228,Melbourne,LP,Liberal,23493,ARMISTEAD,Sean,N,N
QLD,164,Groom,RUA,Rise Up Australia Party,23655,ARMITAGE,Rick,N,N
