2013 Federal Election - Senate Senate First Preferences By Polling Place [Event:17496 Generated:2013-11-18T16:00:01]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NT,306,"Lingiari",8701,"Alice Springs", A,25162,0,"A TICKET VOTES","Palmer United Party",48
NT,306,"Lingiari",8701,"Alice Springs", A,24499,1,"TE WAKE, Douglas","Palmer United Party",5
NT,306,"Lingiari",8701,"Alice Springs", A,24500,2,"McCABE, John Brian Douglas","Palmer United Party",0
NT,306,"Lingiari",8701,"Alice Springs", B,25160,0,"B TICKET VOTES","Uniting Australia Party",3
NT,306,"Lingiari",8701,"Alice Springs", B,23793,1,"BELL, Gary","Uniting Australia Party",0
NT,306,"Lingiari",8701,"Alice Springs", B,23797,2,"WATT, Kathryn","Uniting Australia Party",0
NT,306,"Lingiari",8701,"Alice Springs", C,25156,0,"C TICKET VOTES","Stable Population Party",2
NT,306,"Lingiari",8701,"Alice Springs", C,23375,1,"MILES, Jim","Stable Population Party",2
NT,306,"Lingiari",8701,"Alice Springs", C,23423,2,"RUSSELL, Mark","Stable Population Party",0
NT,306,"Lingiari",8701,"Alice Springs", D,25161,0,"D TICKET VOTES","A.F.N.P.P.",20
NT,306,"Lingiari",8701,"Alice Springs", D,24015,1,"KUNOTH-MONKS, Rosalie","A.F.N.P.P.",6
NT,306,"Lingiari",8701,"Alice Springs", D,24020,2,"GADAMBUA, Jeannie","A.F.N.P.P.",0
NT,306,"Lingiari",8701,"Alice Springs", E,25158,0,"E TICKET VOTES","Country Liberals (NT)",395
NT,306,"Lingiari",8701,"Alice Springs", E,23513,1,"SCULLION, Nigel","Country Liberals (NT)",33
NT,306,"Lingiari",8701,"Alice Springs", E,23514,2,"FAZLDEEN, Linda","Country Liberals (NT)",2
NT,306,"Lingiari",8701,"Alice Springs", F,25157,0,"F TICKET VOTES","Australian Labor Party (Northern Territory) Branch",280
NT,306,"Lingiari",8701,"Alice Springs", F,23498,1,"PERIS, Nova","Australian Labor Party (Northern Territory) Branch",20
NT,306,"Lingiari",8701,"Alice Springs", F,23503,2,"FOLEY, Rowan","Australian Labor Party (Northern Territory) Branch",8
NT,306,"Lingiari",8701,"Alice Springs", G,25165,0,"G TICKET VOTES","Sex Party",29
NT,306,"Lingiari",8701,"Alice Springs", G,24958,1,"EDWARDS, Joanne Louise","Sex Party",0
NT,306,"Lingiari",8701,"Alice Springs", G,24962,2,"RANDALL, Tracey Lee","Sex Party",2
NT,306,"Lingiari",8701,"Alice Springs", H,25155,0,"H TICKET VOTES","Citizens Electoral Council",1
NT,306,"Lingiari",8701,"Alice Springs", H,23300,1,"WORK, Vernon","Citizens Electoral Council",2
NT,306,"Lingiari",8701,"Alice Springs", H,23353,2,"STANKOVIC, Mile","Citizens Electoral Council",0
NT,306,"Lingiari",8701,"Alice Springs", I,25154,0,"I TICKET VOTES","Shooters and Fishers",2
NT,306,"Lingiari",8701,"Alice Springs", I,23588,1,"GRAHAM, Matt","Shooters and Fishers",0
NT,306,"Lingiari",8701,"Alice Springs", I,23589,2,"RIGHTON, Christopher James","Shooters and Fishers",0
NT,306,"Lingiari",8701,"Alice Springs", J,25163,0,"J TICKET VOTES","Rise Up Australia Party",4
NT,306,"Lingiari",8701,"Alice Springs", J,24726,1,"PILE, Jan","Rise Up Australia Party",4
NT,306,"Lingiari",8701,"Alice Springs", J,24731,2,"COX, Michael","Rise Up Australia Party",1
NT,306,"Lingiari",8701,"Alice Springs", K,25164,0,"K TICKET VOTES","Australian Greens",179
NT,306,"Lingiari",8701,"Alice Springs", K,24888,1,"WILLIAMS, Warren H","Australian Greens",52
NT,306,"Lingiari",8701,"Alice Springs", K,24892,2,"BRAND, Michael","Australian Greens",7
NT,306,"Lingiari",8701,"Alice Springs", L,25159,0,"L TICKET VOTES","Australian Independents",28
NT,306,"Lingiari",8701,"Alice Springs", L,23959,1,"WALCOTT, Phil","Australian Independents",12
NT,306,"Lingiari",8701,"Alice Springs", L,23962,2,"FUTCHER, Lisa","Australian Independents",1
NT,306,"Lingiari",8701,"Alice Springs",ZZ,0,99,"INFORMAL"," ",24
NT,306,"Lingiari",65681,"Alice Springs PPVC", A,25162,0,"A TICKET VOTES","Palmer United Party",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", A,24499,1,"TE WAKE, Douglas","Palmer United Party",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", A,24500,2,"McCABE, John Brian Douglas","Palmer United Party",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", B,25160,0,"B TICKET VOTES","Uniting Australia Party",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", B,23793,1,"BELL, Gary","Uniting Australia Party",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", B,23797,2,"WATT, Kathryn","Uniting Australia Party",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", C,25156,0,"C TICKET VOTES","Stable Population Party",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", C,23375,1,"MILES, Jim","Stable Population Party",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", C,23423,2,"RUSSELL, Mark","Stable Population Party",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", D,25161,0,"D TICKET VOTES","A.F.N.P.P.",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", D,24015,1,"KUNOTH-MONKS, Rosalie","A.F.N.P.P.",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", D,24020,2,"GADAMBUA, Jeannie","A.F.N.P.P.",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", E,25158,0,"E TICKET VOTES","Country Liberals (NT)",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", E,23513,1,"SCULLION, Nigel","Country Liberals (NT)",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", E,23514,2,"FAZLDEEN, Linda","Country Liberals (NT)",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", F,25157,0,"F TICKET VOTES","Australian Labor Party (Northern Territory) Branch",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", F,23498,1,"PERIS, Nova","Australian Labor Party (Northern Territory) Branch",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", F,23503,2,"FOLEY, Rowan","Australian Labor Party (Northern Territory) Branch",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", G,25165,0,"G TICKET VOTES","Sex Party",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", G,24958,1,"EDWARDS, Joanne Louise","Sex Party",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", G,24962,2,"RANDALL, Tracey Lee","Sex Party",0
