#TYPE System.Management.Automation.PSCustomObject
"PartyName","PartyKey","PartyShort"
"A.F.N.P.P.","FNPP","FirstNat"
"Animal Justice Party","AJP","AnimJust"
"Australia First Party","FST","AusFirst"
"Australian Christians","AUC","AuChrist"
"Australian Democrats","DEM","Democrat"
"Australian Fishing and Lifestyle Party","AFLP","FishLife"
"Australian Greens","GRN","Greens"
"Australian Independents","AIN","AuIndeps"
"Australian Labor Party","ALP","Labor"
"Australian Labor Party (Northern Territory) Branch","ALP","Labor"
"Australian Motoring Enthusiast Party","AMEP","Motoring"
"Australian Protectionist Party","APP","Protect"
"Australian Sex Party","ASXP","Sex"
"Australian Sports Party","SPRT","Sports"
"Australian Voice","VCE","Voice"
"Australian Voice Party","VCE","Voice"
"Bank Reform Party","BRP","BankRef"
"Building Australia","BAP","BuildAus"
"Building Australia Party","BAP","BuildAus"
"Bullet Train For Australia","BTA","BulletTr"
"Carers","CA","Carers"
"Carers Alliance","CA","Carers"
"Christian Democratic Party","CDP","ChrisDem"
"Christian Democratic Party (Fred Nile Group)","CDP","ChrisDem"
"Citizens Electoral Council","CEC","CitElect"
"Citizens Electoral Council of Australia","CEC","CitElect"
"Climate Change Coalition","CCC","ClimChg"
"Communist","CAL","Communis"
"Conservatives for Climate and Environment","CCE","ConsClim"
"Country Alliance","CYA","CntryAll"
"Country Liberals (NT)","LNP","Lib-Nat"
"D.L.P. - Democratic Labor Party","DLP","DemLab"
"Democratic Labor Party (DLP) of Australia","DLP","DemLab"
"Democratic Labour Party (DLP)","DLP","DemLab"
"Democrats","DEM","Democrat"
"DLP Democratic Labour","DLP","DemLab"
"Drug Law Reform","DRF","DrugRef"
"Family First","FFP","FamFirst"
"Family First Party","FFP","FamFirst"
"Future Party","SCI","Science"
"Hear Our Voice","HOV","HearVoic"
"Help End Marijuana Prohibition (HEMP) Party","HMP","HEMP"
"Independent","IND","IND"
"Katter's Australian Party","KAP","Katter"
"Labor","ALP","Labor"
"LDP","LDP","LibDem"
"Liberal","LNP","Lib-Nat"
"Liberal & Nationals","LNP","Lib-Nat"
"Liberal Democrats","LDP","LibDem"
"Liberal Democrats (LDP)","LDP","LibDem"
"Liberal National Party of Queensland","LNP","Lib-Nat"
"Liberal/Nationals","LNP",""
"Liberal/The Nationals","LNP","Lib-Nat"
"National Party","LNP","Lib-Nat"
"Nationals","LNP","Lib-Nat"
"Nick Xenophon Group","XEN","Xenophon"
"No Carbon Tax Climate Sceptics","TCS","NoCarbTx"
"Non-Custodial Parents Party (Equal Parenting)","NCP","EqParent"
"Northern Territory Country Liberal Party","LNP","Lib-Nat"
"Nuclear Disarmament Party of Australia","NDP","NucDis"
"One Nation","ON","OneNat"
"One Nation WA","ON","OneNat"
"Palmer United Party","PUP","Palmer"
"Pauline","ON","OneNat"
"Pirate Party","PIR","Pirate"
"Rise Up Australia Party","RUA","RiseUp"
"Secular Party of Australia","SPA","Secular"
"Senator On-Line","SOL","SenOnLin"
"Senator Online (Internet Voting Bills/Issues)","SOL","SenOnLin"
"Sex Party","ASXP","Sex"
"Shooters and Fishers","ASP","Shooters"
"Smokers Rights","SMK","Smokers"
"Socialist Alliance","SAL","SocAll"
"Socialist Equality Party","SEP","SocEq"
"Stable Population Party","SPP","StablPop"
"Stop CSG","SCSG","StopCSG"
"Stop The Greens","ODR","StopGrns"
"The Australian Republicans","RPA","Repub"
"The Australian Shooters Party","ASP","Shooters"
"The Australian Shooters Party/Australian Fishing and Lifestyle Party","SFP","Shooters"
"The Climate Sceptics","TCS","ClimScep"
"The Fishing Party","FPY","Fishing"
"The Greens","GRN","Greens"
"The Greens (WA)","GRN","Greens"
"The Nationals","NAT","National"
"The Wikileaks Party","WKP","Wiki"
"Uniting Australia Party","UNP","UniteAus"
"Voluntary Euthanasia Party","VEP","VolEuth"
"What Women Want (Australia)","WWW","Women"
"Antipaedophile Party","APP","AntiPed"
"Australian Antipaedophile Party","APP","AntiPed"
"Australian Country Party","CTY","Country"
"Australian Cyclists Party","CYC","Cyclists"
"Australian Liberty Alliance","ALA","AuLibAll"
"Australian Progressives","PRO","Progress"
"Australian Recreational Fishers Party","RFP","RecFish"
"Australian Sex Party/Marijuana (HEMP) Party","ASXP","SEX"
"CountryMinded","CTMN","CtryMind"
"Derryn Hinch's Justice Party","JP","Justice"
"Glenn Lazarus Team","LAZ","Lazarus"
"Health Australia Party","HAP","Health"
"Jacqui Lambie Network","JLN","Lambie"
"Liberal Democratic Party","LDP","LibDem"
"Marijuana (HEMP) Party","HMP","HEMP"
"Marijuana (HEMP) Party/Australian Sex Party","HMP","HEMP"
"Marriage Equality","ME","MarrEq"
"Mature Australia","MAT","Mature"
"MFP","MFP","Manufac"
"Nick Xenophon Team","XEN","Xenophon"
"Online Direct Democracy - (Empowering the People!)","SOL","SenOnLin"
"Pauline Hanson's One Nation","ON","OneNat"
"Pirate Party Australia","PIR","Pirate"
"Renewable Energy Party","REP","RenewEn"
"Science Party","SCI","Science"
"Science Party / Cyclists Party","SCI","Science"
"Science Party/Cyclists Party","SCI","Science"
"Seniors United Party of Australia","SUPA","Seniors"
"Shooters, Fishers and Farmers","ASP","Shooters"
"Sustainable Australia","SUS","SustAus"
"The Arts Party","ART","Arts"
"Veterans Party","VET","Veterans"
"VOTEFLUX.ORG | Upgrade Democracy!","VFL","Voteflux"
"Consumer Rights & No-Tolls","CRNT","Consumer"
"Country Labor","ALP","Labor"
"Outdoor Recreation Party (Stop The Greens)","ODR","Outdoor"
